iter	Passed	Remaining
833	5382	1071
834	5404	1067
835	5423	1063
836	5431	1057
837	5438	1051
838	5447	1045
839	5456	1039
840	5462	1032
841	5469	1026
842	5476	1019
843	5483	1013
844	5491	1007
845	5497	1000
846	5504	994
847	5511	987
848	5517	981
849	5526	975
850	5533	968
851	5540	962
852	5546	955
853	5553	949
854	5559	942
855	5565	936
856	5572	929
857	5577	923
858	5583	916
859	5589	909
860	5595	903
861	5601	896
862	5607	890
863	5614	883
864	5620	877
865	5626	870
866	5632	864
867	5645	858
868	5651	852
869	5657	845
870	5663	838
871	5669	832
872	5674	825
873	5681	819
874	5688	812
875	5696	806
876	5703	799
877	5709	793
878	5715	786
879	5721	780
880	5727	773
881	5733	767
882	5738	760
883	5743	753
884	5749	747
885	5754	740
886	5760	733
887	5766	727
888	5772	720
889	5778	714
890	5783	707
891	5788	700
892	5795	694
893	5801	687
894	5807	681
895	5813	674
896	5818	668
897	5825	661
898	5831	655
899	5837	648
900	5844	642
901	5849	635
902	5857	629
903	5865	622
904	5871	616
905	5879	609
906	5885	603
907	5893	597
908	5899	590
909	5905	584
910	5913	577
911	5920	571
912	5928	564
913	5934	558
914	5942	552
915	5948	545
916	5957	539
917	5963	532
918	5970	526
919	5976	519
920	5983	513
921	5989	506
922	5995	500
923	6002	493
924	6009	487
925	6016	480
926	6022	474
927	6028	467
928	6035	461
929	6042	454
930	6048	448
931	6054	441
932	6059	435
933	6066	428
934	6072	422
935	6078	415
936	6085	409
937	6091	402
938	6098	396
939	6104	389
940	6110	383
941	6117	376
942	6123	370
943	6129	363
944	6136	357
945	6142	350
946	6148	344
947	6155	337
948	6162	331
949	6168	324
950	6174	318
951	6180	311
952	6186	305
953	6192	298
954	6197	292
955	6203	285
956	6210	279
957	6216	272
958	6222	266
959	6228	259
960	6234	253
961	6239	246
962	6246	239
963	6252	233
964	6258	226
965	6265	220
966	6271	214
967	6277	207
968	6283	201
969	6289	194
970	6296	188
971	6301	181
972	6307	175
973	6315	168
974	6320	162
975	6325	155
976	6331	149
977	6336	142
978	6343	136
979	6349	129
980	6355	123
981	6361	116
982	6367	110
983	6373	103
984	6379	97
985	6384	90
986	6390	84
987	6395	77
988	6401	71
989	6406	64
990	6412	58
991	6417	51
992	6422	45
993	6428	38
994	6433	32
995	6438	25
996	6443	19
997	6448	12
998	6453	6
999	6459	0
